Date,Temperature
2017-07-10 00,29.88593744
2017-07-11 00,33.19491995
2017-07-12 00,32.84607548
2017-07-13 00,32.18227344
2017-07-14 00,32.13971839
2017-07-15 00,32.32179518
2017-07-16 00,33.16983592
2017-07-17 00,31.72097886
2017-07-18 00,31.16053319
2017-07-19 00,32.63302946
2017-07-20 00,30.91808022
2017-07-21 00,31.82407155
2017-07-22 00,32.40655854
2017-07-23 00,33.0484123
2017-07-24 00,32.29781038
2017-07-25 00,31.59368005
2017-07-26 00,31.50602324
2017-07-27 00,31.35296507
2017-07-28 00,32.07724875
2017-07-29 00,32.91535764
2017-07-30 00,31.26378374
2017-07-31 00,31.21911933
2017-08-01 00,28.77754679
2017-08-02 00,29.61219481
2017-08-03 00,29.83010987
2017-08-04 00,31.65864276
2017-08-05 00,30.93607936
2017-08-06 00,32.3419404
2017-08-07 00,32.62121542
2017-08-08 00,32.9238887
2017-08-09 00,32.69615533
2017-08-10 00,32.59355168
2017-08-11 00,31.68670008
2017-08-12 00,32.54804623
2017-08-13 00,32.37767944
2017-08-14 00,32.08192694
2017-08-15 00,32.31604188
2017-08-16 00,32.81399681
2017-08-17 00,32.86997423
2017-08-18 00,32.60405325
2017-08-19 00,33.04698147
2017-08-20 00,33.13028553
2017-08-21 00,32.96702399
2017-08-22 00,31.45693949
2017-08-23 00,31.04276742
2017-08-24 00,31.6104142
2017-08-25 00,30.00093111
2017-08-26 00,30.90052644
2017-08-27 00,31.39822319
2017-08-28 00,30.15703706
2017-08-29 00,31.11839945
2017-08-30 00,32.31108377
2017-08-31 00,31.79073419
2017-09-01 00,29.85171242
2017-09-02 00,29.99013449
2017-09-03 00,29.40351842
2017-09-04 00,30.75912762
2017-09-05 00,31.21139194
2017-09-06 00,31.64797965
2017-09-07 00,31.33228655
2017-09-08 00,31.32803129
2017-09-09 00,30.96521574
2017-09-10 00,31.4861332
2017-09-11 00,31.72600732
2017-09-12 00,31.39621726
2017-09-13 00,30.75889836
2017-09-14 00,31.48268012
2017-09-15 00,31.2158422
2017-09-16 00,31.90471332
2017-09-17 00,31.76397465
2017-09-18 00,31.68548059
2017-09-19 00,30.89388897
2017-09-20 00,31.179321
2017-09-21 00,31.34689461
2017-09-22 00,31.90412498
2017-09-23 00,32.32565031
2017-09-24 00,32.49907515
2017-09-25 00,32.83373734
2017-09-26 00,32.14704043
2017-09-27 00,31.81365138
2017-09-28 00,31.43200411
2017-09-29 00,32.12465749
2017-09-30 00,31.40327691
2017-10-01 00,31.91315227
2017-10-02 00,32.59299195
2017-10-03 00,32.88125271
2017-10-04 00,32.1786331
2017-10-05 00,30.99285397
2017-10-06 00,30.95531911
2017-10-07 00,31.65063091
2017-10-08 00,32.00119248
2017-10-09 00,31.68312837
2017-10-10 00,31.56964089
2017-10-11 00,31.88849565
2017-10-12 00,31.40001561
2017-10-13 00,30.5901861
2017-10-14 00,28.41028675
2017-10-15 00,27.55237485
2017-10-16 00,27.58169156
2017-10-17 00,29.76982099
2017-10-18 00,29.54989532
2017-10-19 00,28.75788251
2017-10-20 00,28.04567393
2017-10-21 00,27.36006652
2017-10-22 00,25.64153262
2017-10-23 00,24.48033079
2017-10-24 00,23.90242136
2017-10-25 00,25.89581787
2017-10-26 00,25.73603535
2017-10-27 00,25.93159942
2017-10-28 00,24.89098504
2017-10-29 00,24.23817703
2017-10-30 00,25.20534763
2017-10-31 00,23.88316839
2017-11-01 00,24.33739397
2017-11-02 00,25.38807675
2017-11-03 00,26.31123425
2017-11-04 00,25.62371627
2017-11-05 00,24.62582498
2017-11-06 00,23.99680916
2017-11-07 00,24.9212305
2017-11-08 00,26.63506575
2017-11-09 00,26.74432884
2017-11-10 00,25.613271
2017-11-11 00,26.60899891
2017-11-12 00,25.33804036
2017-11-13 00,24.3421124
2017-11-14 00,25.47257638
2017-11-15 00,26.57817111
2017-11-16 00,25.79645385
2017-11-17 00,26.28945549
2017-11-18 00,27.38944333
2017-11-19 00,24.86028801
2017-11-20 00,23.26612322
2017-11-21 00,23.98706045
2017-11-22 00,24.65347405
2017-11-23 00,24.84983528
2017-11-24 00,21.98797362
2017-11-25 00,21.76053246
2017-11-26 00,23.2356451
2017-11-27 00,24.21805049
2017-11-28 00,24.54668591
2017-11-29 00,25.43951071
2017-11-30 00,21.6185421
2017-12-01 00,24.48684433
2017-12-02 00,23.74227565
2017-12-03 00,23.30054441
2017-12-04 00,23.71108352
2017-12-05 00,22.80145848
2017-12-06 00,21.09601099
2017-12-07 00,19.36725311
2017-12-08 00,21.15281564
2017-12-09 00,18.18976557
2017-12-10 00,18.3118133
2017-12-11 00,20.09298834
2017-12-12 00,21.52066777
2017-12-13 00,20.03561017
2017-12-14 00,22.28035628
2017-12-15 00,22.48902646
2017-12-16 00,22.88009036
2017-12-17 00,20.21317729
2017-12-18 00,18.77282434
2017-12-19 00,20.26816894
2017-12-20 00,20.93792403
2017-12-21 00,21.30449822
2017-12-22 00,21.48585286
2017-12-23 00,20.79228545
2017-12-24 00,22.46938302
2017-12-25 00,23.75257512
2017-12-26 00,22.3310684
2017-12-27 00,23.78922288
2017-12-28 00,22.98579276
2017-12-29 00,23.55164145
2017-12-30 00,23.74209116
2017-12-31 00,22.93135382
2018-01-01 00,21.02792337
2018-01-02 00,21.58430322
2018-01-03 00,21.29297734
2018-01-04 00,19.33981686
2018-01-05 00,20.42463171
2018-01-06 00,21.09958063
2018-01-07 00,20.0724571
2018-01-08 00,21.99749704
2018-01-09 00,22.45844248
2018-01-10 00,15.36345958
2018-01-11 00,16.56241562
2018-01-12 00,16.72089764
2018-01-13 00,17.11457089
2018-01-14 00,18.11264619
2018-01-15 00,18.04852513
2018-01-16 00,20.47684793
2018-01-17 00,22.61192184
2018-01-18 00,23.78880135
2018-01-19 00,21.47110113
2018-01-20 00,21.99837525
2018-01-21 00,22.43434974
2018-01-22 00,23.07859939
2018-01-23 00,22.54459433
2018-01-24 00,21.60681709
2018-01-25 00,21.4625614
2018-01-26 00,21.37487378
2018-01-27 00,21.12069491
2018-01-28 00,19.96396674
2018-01-29 00,20.85890157
2018-01-30 00,17.83805534
2018-01-31 00,19.16355335
2018-02-01 00,19.82263737
2018-02-02 00,18.23878844
2018-02-03 00,18.66831325
2018-02-04 00,15.99764325
2018-02-05 00,14.74312677
2018-02-06 00,13.19903303
2018-02-07 00,17.340683
2018-02-08 00,15.65886824
2018-02-09 00,18.06470466
2018-02-10 00,21.96714803
2018-02-11 00,21.42862522
2018-02-12 00,19.53313619
2018-02-13 00,19.15125807
2018-02-14 00,18.53372935
2018-02-15 00,23.04709355
2018-02-16 00,25.48074816
2018-02-17 00,24.16963228
2018-02-18 00,22.89863286
2018-02-19 00,23.84643245
2018-02-20 00,25.25381079
2018-02-21 00,23.15604221
2018-02-22 00,22.9792705
2018-02-23 00,18.90204093
2018-02-24 00,21.65327125
2018-02-25 00,23.42588932
2018-02-26 00,22.93652813
2018-02-27 00,21.88923326
2018-02-28 00,21.7197534
2018-03-01 00,22.45264113
2018-03-02 00,24.85966105
2018-03-03 00,24.67556374
2018-03-04 00,27.35626674
2018-03-05 00,27.76780681
2018-03-06 00,29.21928116
2018-03-07 00,22.3791612
2018-03-08 00,24.14372664
2018-03-09 00,18.31127892
2018-03-10 00,19.05233104
2018-03-11 00,21.65772882
2018-03-12 00,21.38457863
2018-03-13 00,21.8072152
2018-03-14 00,22.53231943
2018-03-15 00,23.3281798
2018-03-16 00,23.55288098
2018-03-17 00,23.56479042
2018-03-18 00,24.54019061
2018-03-19 00,25.85837126
2018-03-20 00,27.38524798
2018-03-21 00,25.49503384
2018-03-22 00,23.21045687
2018-03-23 00,22.28477635
2018-03-24 00,23.686419
2018-03-25 00,19.41330455
2018-03-26 00,24.5055198
2018-03-27 00,25.21114261
2018-03-28 00,24.46318201
2018-03-29 00,25.99798055
2018-03-30 00,26.34822438
2018-03-31 00,26.81452495
2018-04-01 00,27.3000378
2018-04-02 00,28.10397127
2018-04-03 00,28.08385404
2018-04-04 00,27.81482066
2018-04-05 00,28.7475634
2018-04-06 00,26.38887072
2018-04-07 00,27.69343724
2018-04-08 00,24.26697153
2018-04-09 00,24.05524556
2018-04-10 00,24.26352994
2018-04-11 00,25.55459244
2018-04-12 00,28.89581829
2018-04-13 00,29.6847523
2018-04-14 00,31.1480082
2018-04-15 00,31.19194138
2018-04-16 00,27.00725265
